N;512;1024;2048;4096;8192;16384;
R; 1
Int;1.44906;1.44953;1.44976;1.44988;1.44994;1.44997;
T1;0.0022847;0.0058876;0.0290955;0.131508;0.476429;1.81989;
R; 2
Int;1.44906;1.44953;1.44976;1.44988;1.44994;1.44997;
T2;0.0015528;0.0042064;0.0150855;0.0616027;0.228717;0.877059;
T1 / T2;1.47134;1.39968;1.92871;2.13477;2.08305;2.07499;
R; 4
Int;1.44906;1.44953;1.44976;1.44988;1.44994;1.44997;
T3;0.001822;0.0034687;0.0096678;0.0379912;0.144742;0.561974;
T1 / T3;1.25395;1.69735;3.00953;3.46154;3.29158;3.23838;